DATE READ,FILE,WRITTEN LABEL,PUNCHED LABEL,DESCRIPTION,SOURCE
29/10/2014,CANDG,MNEMONIC CODE CITY & GUILDS 319 903 VERSION CJP-J,,,CP-J
14/12/2014,CPJ_RANDOMNUMBERS,RANDOM NUMBERS PROCEDURES,,,CP-J
14/12/2014,CPJ_PERT82ANS,PERT 83 ANSWERS 16/12/71,,,CP-J
14/12/2014,CPJ_RANDOM,RANDOM 12/5/72,,,CP-J
14/12/2014,CPJ_OXO,ALGOL (ONLINE 903B) O AND X PROGRAM  12/4/73 CJP-J,,,CP-J
14/12/2014,CPJ_LEGIBLE,LEGIBLE HEADINGS CP-J,,,CP-J
14/12/2014,CPJ_CJPJ1A,CJPJA1 1972/3,,,CP-J
14/12/2014,CPJ_CHESS,CP-J A SIMULATION PROBLEM (CHESS),,,CP-J
12/01/2015,CPJ_PERT120473,PERT PROGRAM 12/4/73 ALGOL CJP-J (903) (P),,,CP-J
12/01/2015,CPJ_EDITBLOCKOX,EDIT OF BLOCK INTO OANDX 3/4/74,,,CP-J
12/01/2015,CPJ_NUMBERS,USER NO 046 JOB NO 338 NUMBER OF NUMBERS(M) (903),,,CP-J
12/01/2015,CPJ_CAREOFPERSON,USER NO 046 JOB NO 338 CARE OF A PERSON(M),,,CP-J
12/01/2015,CPJ_OLD4,OLD(M) 4,,,CP-J
12/01/2015,CPJ_MISC1,JOB NO 038 046 CJPJ,,,CP-J
12/01/2015,CPJ_MISC2,JOB NO 038 046,,,CP-J
12/01/2015,CPJ_FIND,TO FIND SOMETHING CJP-J (M),,,CP-J
12/01/2015,CPJ_MISC3,USER NO 46 JOB NO 12,,,CP-J
12/01/2015,CPJ_MISC4,USER NO 46 JOB 71,,,CP-J
12/01/2015,CPJ_OLD2,OLD (M),,,CP-J
12/01/2015,CPJ_CAREOFPERSON2,CARE OF A PERSON (M),,,CP-J
12/01/2015,CPJ_CAREOFPERSONDATA,CARE OF PERSON DATA,,,CP-J
12/01/2015,CPJ_PERT251171,25/11/71 PERT (A) (PROGRAM) (903) (P),,,CP-J
12/01/2015,CPJ_CJPJ2A,(P) (903) CJPJ2A 1973/4,,,CP-J
12/01/2015,CPJ_CHESSANS,(903) (o) CHESS ANS / ANS BOARD,,,CP-J
12/01/2015,CPJ_CHESSANS210471,CHESS ANS CJP-J 21.4.71,,,CP-J
12/01/2015,CPJ_CHESSANS2,CHESS (M) ANS,,,CP-J
12/01/2015,CPJ_NOOFNOS,A NO OF NOS 20/4/72 (903),,,CP-J
12/01/2015,CPJ_MISC6,(Wrapped inside CPJ_NOOFNOS),,,CP-J
12/01/2015,CPJ_OANDXB,(P) (903) CP-J O.X OANDXB,,,CP-J
12/01/2015,CPJ_MISC7,(Wrapped inside CPJ_OANDXB),,,CP-J
12/01/2015,CPJ_TESTDATA,TEST DATA,,,CP-J
12/01/2015,CPJ_ACTUALRESULTS,ACTUAL RESULTS,,,CP-J
12/01/2015,CPJ_INITIALPOS,INITIAL POSITIONS SIMUL B.O.G,,,CP-J
12/01/2015,CPJ_NUMBEREDBOARD,NUMBERED BOARD,,,CP-J
19/01/2015,CPJ_NUTS,NUTS! 903? NUTS,,,CP-J
19/01/2015,CPJ_PERTEX4,903 PERT  EXAMPLE 4 83+60 FX12,,,CP-J
19/01/2015,CPJ_PERTEX5,PERT EXAMPLE 5 15,,,CP-J
19/01/2015,CPJ_PERTEX3,PERT EXAMPLE 3 20,,,CP-J
19/01/2015,CPJ_MISC8,"(Wrapped inside CPJ_PERTEX4, 5, 3",,,CP-J
19/01/2015,CPJ_SIMPLEX,LP1 MK2 SIMPLEX ALGOL 9/4/72,,,CP-J
19/01/2015,CPJ_CURRENCY,903 CURRENCY CONVERSION 20/4/72,,,CP-J
19/01/2015,CPJ_MISC9,(Wrapped inside CPJ_CURRENCY),,,CP-J
19/01/2015,CPJ_CHESSDATA,CHESS(A) DATA (903)  (D),,,CP-J
19/01/2015,CPJ_CHESSDATA2,CHESS (a) DATA / DATA GAME,,,CP-J
19/01/2015,CPJ_MISC10,(Wrapped inside CHESSDATA),,,CP-J
19/01/2015,CPJ_MISC11,(Wrapped inside CHESSDATA),,,CP-J
19/01/2015,CPJ_DATABOARD,DATA BOARD (wrapped inside CHESSDATA),,,CP-J
19/01/2015,CPJ_CHESSDATA3,CHESS DATA,,,CP-J
20/01/2015,CPJ_PERT120473-2,ALGOL (ONLINE) *903B* (PROGRAM IN INNER)PERT PRODUCED TAPE 12/4/73 (903) (T),,,CP-J
20/01/2015,QCOPY(ISS2),903 QCOPY ISSUE 2,,,CP-J
20/01/2015,CPJ_MISC12,(1),,,CP-J
20/01/2015,CPJ_MISC13,(2) (wrapped inside CPJ_MISC12),,,CP-J
20/01/2015,CPJ_MISC14,(3) (rapped inside CPJ_MISC13),,,CP-J
20/01/2015,CPJ_MISC15,(4) (wrapped inside CPJ_MISC14),,Telecode after RLB,CP-J
20/01/2015,CPJ_MISC16,(5) (wrapped inside CPJ_MISC15),,,CP-J
20/01/2015,CPJ_MISC17,(7) (wrapped inside CPJ_MISC16),,Telecode after RLB,CP-J
20/01/2015,CPJ_MISC18,(8) (wrapped inside CPJ_MISC17),,Telecode after RLB,CP-J
20/01/2015,CPJ_FOOLSMATE,CHESS TRANS (FOOLS MATE) (wrapped inside CPJ_MISC18),,Telecode after RLB,CP-J
20/01/2015,CPJ_SORTTRANS,SORT TRANS (wrapped inside CPJ_FOOLSMATE),,Telecode after RLB,CP-J
20/01/2015,CPJ_SOSLE_PROG,SOSLE PROGRAM TRANSLATOR TEST DATA RESULTS,,,CP-J
20/01/2015,CPJ_SOSLE_TRANS,(wrapped inside CPJ_SOSLE_PROG),,,CP-J
20/01/2015,CPJ_SOSLE_DATA,(wrapped inside CPJ_SOSLE_TRANS),,,CP-J
20/01/2015,CPJ_SOSLE_RESULTS,(wrapped inside CPJ_SOSLE_DATA),,,CP-J
20/01/2015,CPJ_PERT_APRIL73,PERT (A) (903) (P) APRIL 73,,,CP-J
20/01/2015,CPJ_CJPJ2A_2,CJPJ2A (wrapped inside CPJ_PERT_APRIL73),,,CP-J
20/01/2015,CPJ_PERTDATA11,(903) (D) PERT DATA 11,,,CP-J
20/01/2015,CPJ_DATESANDDAYS,DATES AND DAYS 21/4/72 (903) (P),,,CP-J
20/01/2015,CPJ_MISC19,(wrapped inside CPJ_DATESANDDAYS),,Data for CPJ_DATESANDDAYS,CP-J
20/01/2015,CPJ_SOSLE_7HARD,7 HARD SOSLE / SOSLE PROG (7 HARD),,,CP-J
20/01/2015,CPJ_ANONCJ,ANONCJ (A) (903) (P),,,CP-J
20/01/2015,CPJ_CHESSONLY,CHESS (A) ONLY (903) (P),,,CP-J
20/01/2015,CPJ_PROGRAM_CHESS,PROGRAM CHESS (wrqpped inside CPJ_CHESSONLY,,,CP-J
20/01/2015,CPJ_CHESS070571,CHESS (A) 7/5/71,,,CP-J
20/01/2015,CPJ_NOUGHTS,NOUGHTS AND CROSSES O & X  COMP ENTER @ 8181 RUN @ 10 (T)?,,,CP-J
20/01/2015,CPJ_SORT,(903) (P) SORT (A),,,CP-J
20/01/2015,CPJ_SORT210471,(903) (P) SORT  21/4/71,,,CP-J
20/01/2015,CPJ_MISC20,(wrapped inside CPJ_SORT210471,,,CP-J
20/01/2015,ALG2(ISS5),ALGOL 2 ISSUE 5 CJP-J (903),903 TAPE 2 (INTERPRETER) ISS5,,CP-J
20/01/2015,ALG1(ISS5),ALGOL 1 ISSUE 5 51686 (903) (S) CJP-J,903 TAPE 1 (TRANSLATOR) ISSUE 5,,CP-J